
> web@0.1.0 dev
> next dev --webpack

   ▲ Next.js 16.0.0 (webpack)
   - Local:        http://localhost:3000
   - Network:      http://192.168.1.3:3000

 ✓ Starting...
 ✓ Ready in 4.2s
 GET / 200 in 2.3s (compile: 1903ms, render: 371ms)
 GET /director/planning/1 200 in 44ms (compile: 10ms, render: 34ms)
 GET /director/planning/1 200 in 201ms (compile: 27ms, render: 174ms)
 GET /director/planning/1 200 in 174ms (compile: 33ms, render: 141ms)
 GET /director/planning/1 200 in 202ms (compile: 30ms, render: 172ms)
 GET /director/planning/1 200 in 179ms (compile: 32ms, render: 147ms)
 GET /director/planning/1 200 in 242ms (compile: 33ms, render: 209ms)
 GET /director/planning/1 200 in 128ms (compile: 24ms, render: 104ms)
 GET /director/planning/1 200 in 98ms (compile: 18ms, render: 81ms)
 GET /director/sites 200 in 48ms (compile: 10ms, render: 37ms)
 GET /director/planning/5 200 in 30ms (compile: 6ms, render: 23ms)
 GET /director/planning/5 200 in 303ms (compile: 60ms, render: 243ms)
 GET /director/planning/5 200 in 73ms (compile: 12ms, render: 60ms)
 GET /director/sites 200 in 114ms (compile: 33ms, render: 81ms)
 GET /director/planning/1 200 in 64ms (compile: 27ms, render: 37ms)
 GET /director/planning/1 200 in 229ms (compile: 51ms, render: 177ms)
 GET /director/planning/1 200 in 264ms (compile: 38ms, render: 226ms)
 GET /director/planning/1 200 in 121ms (compile: 21ms, render: 101ms)
 ⚠ Fast Refresh had to perform a full reload. Read more: https://nextjs.org/docs/messages/fast-refresh-reload
 GET /login 200 in 1979ms (compile: 1807ms, render: 172ms)
 GET /director/planning/1 200 in 148ms (compile: 53ms, render: 95ms)
 GET /director/planning/1 200 in 80ms (compile: 12ms, render: 68ms)
 GET /login 200 in 43ms (compile: 3ms, render: 41ms)
 GET /login 200 in 141ms (compile: 32ms, render: 109ms)
 GET /director 200 in 1150ms (compile: 1111ms, render: 40ms)
 GET /director/planning/1 200 in 146ms (compile: 89ms, render: 58ms)
 GET /director/planning/1 200 in 262ms (compile: 16ms, render: 247ms)
 GET /director/planning/1 200 in 153ms (compile: 28ms, render: 125ms)
 GET /director/planning/1 200 in 153ms (compile: 16ms, render: 137ms)
 GET /login 200 in 275ms (compile: 196ms, render: 80ms)
 GET /login 200 in 268ms (compile: 45ms, render: 223ms)
 GET /director 200 in 109ms (compile: 27ms, render: 82ms)
 GET /director/planning/1 200 in 51ms (compile: 25ms, render: 26ms)
 GET /director/planning/1 200 in 177ms (compile: 34ms, render: 143ms)
 GET /director/planning/1 200 in 299ms (compile: 42ms, render: 256ms)
 GET /director/planning/1 200 in 881ms (compile: 166ms, render: 716ms)
 GET /director 200 in 272ms (compile: 29ms, render: 243ms)
 GET /director/planning/4 200 in 140ms (compile: 19ms, render: 121ms)
 GET /director/planning/5 200 in 40ms (compile: 8ms, render: 32ms)
 GET /director/planning/4 200 in 400ms (compile: 59ms, render: 341ms)
 GET /director/planning/4 200 in 465ms (compile: 90ms, render: 375ms)
 GET /director/planning/4 200 in 493ms (compile: 54ms, render: 439ms)
 GET /director/planning/4 200 in 157ms (compile: 128ms, render: 29ms)
 GET /director/planning/4 200 in 119ms (compile: 7ms, render: 112ms)
 ⨯ ./src/app/director/planning/[id]/page.tsx
Error:   [31mx[0m Expected ',', got '{'
      ,-[[36;1;4m/Users/yoelibarthel/Sidour Avoda G1/frontend/web/src/app/director/planning/[id]/page.tsx[0m:3972:1]
 [2m3969[0m |         </div>
 [2m3970[0m |       )}
 [2m3971[0m |     </div>
 [2m3972[0m |     {(() => {
      : [35;1m    ^[0m
 [2m3973[0m |       const alts = aiPlan?.alternatives || [];
 [2m3974[0m |       const total = 1 + (alts?.length || 0);
 [2m3975[0m |       if (!aiPlan || total <= 1) return null;
      `----

Caused by:
    Syntax Error

Import trace for requested module:
./src/app/director/planning/[id]/page.tsx
 ⨯ ./src/app/director/planning/[id]/page.tsx
